generation,best_fitness,avg_fitness,fitness_std,diversity,improvement_pct
0,41.932440,94.775006,38.548601,1.000000,34.37
1,33.860566,68.961726,38.642516,0.850000,47.00
2,33.860566,61.504139,28.661444,0.750000,47.00
3,33.860566,53.967344,22.311941,0.800000,47.00
4,33.860566,57.965532,35.483491,0.800000,47.00
5,33.860566,43.049290,10.034272,0.750000,47.00
6,32.528397,51.570142,19.792478,0.800000,49.09
7,29.363674,51.154463,33.639372,0.900000,54.04
8,24.468533,51.493996,32.968685,0.850000,61.70
9,24.468533,44.033028,25.886161,0.750000,61.70
10,23.834705,45.926195,26.851395,0.750000,62.69
11,23.834705,64.349838,50.087070,0.850000,62.69
12,23.834705,46.401860,37.810537,0.900000,62.69
13,23.834705,57.176310,39.837144,1.000000,62.69
14,23.834705,62.449185,50.014847,0.950000,62.69
15,23.834705,53.042328,38.175316,0.850000,62.69
16,23.834705,46.593835,38.745864,0.850000,62.69
17,20.098016,34.624877,18.725843,0.850000,68.54
18,20.098016,37.830819,19.203078,0.850000,68.54
19,20.098016,81.078974,88.325891,0.900000,68.54
20,20.098016,48.699439,45.854712,0.850000,68.54
21,20.098016,68.212669,66.427680,0.800000,68.54
22,20.098016,50.739866,33.888605,0.750000,68.54
23,20.098016,58.485574,60.479800,0.750000,68.54
24,20.098016,41.908740,39.880828,0.800000,68.54
