generation,gene_0_mean,gene_0_std,gene_0_min,gene_0_max,gene_1_mean,gene_1_std,gene_1_min,gene_1_max
0,41.300000,12.112390,22.000000,60.000000,40.900000,11.242331,22.000000,56.000000
1,39.940000,11.538995,24.800000,60.000000,29.775000,8.012857,17.800000,56.000000
2,37.910000,11.131797,25.300000,54.000000,24.955000,3.813984,16.400000,30.000000
3,28.510000,3.164949,18.800000,30.000000,25.525000,2.900668,22.000000,30.000000
4,28.500000,2.333881,22.100000,30.000000,22.945000,2.591809,17.800000,29.000000
5,29.000000,1.634319,25.200000,30.000000,22.690000,3.210592,18.000000,30.000000
6,28.480000,2.872038,18.100000,30.000000,21.780000,4.935545,10.000000,30.000000
7,28.720000,2.538622,21.200000,30.000000,20.615000,4.762801,12.000000,29.700000
8,28.225000,3.128878,18.100000,30.000000,17.035000,4.584133,10.000000,24.300000
9,28.665000,2.129619,24.900000,30.000000,16.360000,4.517898,10.000000,24.300000
10,28.405000,3.307941,16.100000,30.000000,17.145000,5.569423,10.000000,30.000000
11,26.760000,5.094448,11.300000,30.000000,14.495000,3.913116,10.000000,24.000000
12,24.445000,5.201968,16.100000,30.000000,16.080000,4.026984,10.000000,23.900000
13,23.395000,6.215825,11.100000,30.000000,14.370000,4.378938,10.000000,22.600000
14,23.180000,5.186193,12.200000,30.000000,12.945000,3.650818,10.000000,22.600000
15,20.585000,6.198328,10.000000,30.000000,13.775000,3.712395,10.000000,22.600000
16,22.560000,5.301830,11.700000,30.000000,11.995000,3.303252,10.000000,22.300000
17,20.185000,4.109170,11.600000,30.000000,11.510000,1.862498,10.000000,16.400000
18,19.605000,4.196364,10.000000,30.000000,11.380000,2.200364,10.000000,17.100000
19,20.695000,4.165870,10.000000,28.800000,11.250000,2.135064,10.000000,16.200000
20,18.515000,3.667462,10.000000,23.900000,11.170000,2.045507,10.000000,18.600000
21,19.545000,4.927624,13.100000,30.000000,11.690000,2.274621,10.000000,18.700000
22,19.125000,4.940331,13.000000,30.000000,12.015000,2.941985,10.000000,19.400000
23,17.040000,3.570210,12.100000,28.000000,11.345000,1.392291,10.000000,15.800000
24,18.010000,2.630950,14.900000,24.100000,11.710000,1.643746,10.000000,15.800000
